,tid_x,tid_y,name_x,name_y,lon_x,lat_x,lon_y,lat_y,flow
0,0,1,千代田区,中央区,139.7548734931052,35.68762405605021,139.7766846724147,35.67074967024018,13407.377781495226
1,0,2,千代田区,港区,139.7548734931052,35.68762405605021,139.73928951922807,35.65152140313346,6018.902710550607
2,0,3,千代田区,新宿区,139.7548734931052,35.68762405605021,139.7090472739132,35.7010029023122,6425.5984024219615
3,0,4,千代田区,文京区,139.7548734931052,35.68762405605021,139.74722577302532,35.717492538738576,9377.853036247305
4,0,5,千代田区,台東区,139.7548734931052,35.68762405605021,139.78591640698508,35.7154782161265,5576.730416509155
5,0,6,千代田区,墨田区,139.7548734931052,35.68762405605021,139.8155478292236,35.712265408397435,2734.3747164427855
6,0,7,千代田区,江東区,139.7548734931052,35.68762405605021,139.81490418527451,35.65102848976377,2983.459954821266
7,0,8,千代田区,品川区,139.7548734931052,35.68762405605021,139.73298794400105,35.6097677223142,1434.3855478295907
8,0,9,千代田区,目黒区,139.7548734931052,35.68762405605021,139.68820569775528,35.62996716276387,1224.7610247507846
9,0,10,千代田区,大田区,139.7548734931052,35.68762405605021,139.73409187061017,35.56802967563435,755.0424638319361
10,0,11,千代田区,世田谷区,139.7548734931052,35.68762405605021,139.635113474336,35.639724186862246,1074.0510098959157
11,0,12,千代田区,渋谷区,139.7548734931052,35.68762405605021,139.69634143550357,35.667837423511905,2916.1172925798464
12,0,13,千代田区,中野区,139.7548734931052,35.68762405605021,139.66249541642443,35.71091906821566,1354.1727109499789
13,0,14,千代田区,杉並区,139.7548734931052,35.68762405605021,139.62533626144537,35.69680698405763,905.4912567905035
14,0,15,千代田区,豊島区,139.7548734931052,35.68762405605021,139.71148999157788,35.73148962176281,2661.5594419232634
15,0,16,千代田区,北区,139.7548734931052,35.68762405605021,139.7288718008505,35.76592942924935,1293.9886518836831
16,0,17,千代田区,荒川区,139.7548734931052,35.68762405605021,139.78127085248096,35.739910141368014,2296.100429612022
17,0,18,千代田区,板橋区,139.7548734931052,35.68762405605021,139.67640334655457,35.77257000055456,892.0707310039714
18,0,19,千代田区,練馬区,139.7548734931052,35.68762405605021,139.61763054398918,35.74783601256853,681.5142022193747
19,0,20,千代田区,足立区,139.7548734931052,35.68762405605021,139.79510703677857,35.77882757435126,1203.7160410532074
20,0,21,千代田区,葛飾区,139.7548734931052,35.68762405605021,139.8557127852655,35.753283675481214,827.9819417331513
21,0,22,千代田区,江戸川区,139.7548734931052,35.68762405605021,139.87568262960147,35.692420854431354,1170.7502354544647
22,1,0,中央区,千代田区,139.7766846724147,35.67074967024018,139.7548734931052,35.68762405605021,27767.745177216464
23,1,2,中央区,港区,139.7766846724147,35.67074967024018,139.73928951922807,35.65152140313346,22559.498226774987
24,1,3,中央区,新宿区,139.7766846724147,35.67074967024018,139.7090472739132,35.7010029023122,7434.22694370942
25,1,4,中央区,文京区,139.7766846724147,35.67074967024018,139.74722577302532,35.717492538738576,9025.044823657812
26,1,5,中央区,台東区,139.7766846724147,35.67074967024018,139.78591640698508,35.7154782161265,11908.824492076812
27,1,6,中央区,墨田区,139.7766846724147,35.67074967024018,139.8155478292236,35.712265408397435,10083.473815554102
28,1,7,中央区,江東区,139.7766846724147,35.67074967024018,139.81490418527451,35.65102848976377,30273.7996446125
29,1,8,中央区,品川区,139.7766846724147,35.67074967024018,139.73298794400105,35.6097677223142,6175.092216144769
30,1,9,中央区,目黒区,139.7766846724147,35.67074967024018,139.68820569775528,35.62996716276387,3618.23002817311
31,1,10,中央区,大田区,139.7766846724147,35.67074967024018,139.73409187061017,35.56802967563435,3138.916543840925
32,1,11,中央区,世田谷区,139.7766846724147,35.67074967024018,139.635113474336,35.639724186862246,2834.8317650578188
33,1,12,中央区,渋谷区,139.7766846724147,35.67074967024018,139.69634143550357,35.667837423511905,5569.811374514173
34,1,13,中央区,中野区,139.7766846724147,35.67074967024018,139.66249541642443,35.71091906821566,2506.1422821369156
35,1,14,中央区,杉並区,139.7766846724147,35.67074967024018,139.62533626144537,35.69680698405763,1997.2912146467265
36,1,15,中央区,豊島区,139.7766846724147,35.67074967024018,139.71148999157788,35.73148962176281,3871.351483715589
37,1,16,中央区,北区,139.7766846724147,35.67074967024018,139.7288718008505,35.76592942924935,2476.857095026736
38,1,17,中央区,荒川区,139.7766846724147,35.67074967024018,139.78127085248096,35.739910141368014,4738.917988196749
39,1,18,中央区,板橋区,139.7766846724147,35.67074967024018,139.67640334655457,35.77257000055456,1833.8494097230052
40,1,19,中央区,練馬区,139.7766846724147,35.67074967024018,139.61763054398918,35.74783601256853,1510.1359108815573
41,1,20,中央区,足立区,139.7766846724147,35.67074967024018,139.79510703677857,35.77882757435126,3004.248117157976
42,1,21,中央区,葛飾区,139.7766846724147,35.67074967024018,139.8557127852655,35.753283675481214,2722.863924800653
43,1,22,中央区,江戸川区,139.7766846724147,35.67074967024018,139.87568262960147,35.692420854431354,5531.847522381185
44,2,0,港区,千代田区,139.73928951922807,35.65152140313346,139.7548734931052,35.68762405605021,17900.367551150117
45,2,1,港区,中央区,139.73928951922807,35.65152140313346,139.7766846724147,35.67074967024018,32394.948386773172
46,2,3,港区,新宿区,139.73928951922807,35.65152140313346,139.7090472739132,35.7010029023122,17400.559516040572
47,2,4,港区,文京区,139.73928951922807,35.65152140313346,139.74722577302532,35.717492538738576,9411.412082425806
48,2,5,港区,台東区,139.73928951922807,35.65152140313346,139.78591640698508,35.7154782161265,6907.420848709668
