,tid_x,tid_y,name_x,name_y,lon_x,lat_x,lon_y,lat_y,flow
0,0,1,BK01,BK02,-73.94716485387544,40.71683914979386,-73.97837913477538,40.69382760465749,13615.455251368203
1,0,2,BK01,BK03,-73.94716485387544,40.71683914979386,-73.94085883642956,40.68772369261693,20948.59604779338
2,0,3,BK01,BK04,-73.94716485387544,40.71683914979386,-73.9168388485992,40.694551313498664,14141.041196814207
3,0,4,BK01,BK05,-73.94716485387544,40.71683914979386,-73.8773418686659,40.67173712827511,3232.697210767096
4,0,5,BK01,BK06,-73.94716485387544,40.71683914979386,-73.98799738429122,40.67273549470013,4484.548580130175
5,0,6,BK01,BK07,-73.94716485387544,40.71683914979386,-74.00137747837039,40.65160894849583,2026.2132449525598
6,0,7,BK01,BK08,-73.94716485387544,40.71683914979386,-73.94714711249286,40.674503975601816,7341.401607011213
7,0,8,BK01,BK09,-73.94716485387544,40.71683914979386,-73.94707350709098,40.66293581355036,4052.314031653973
8,0,9,BK01,BK10,-73.94716485387544,40.71683914979386,-74.02366503580177,40.62309513074918,923.171527168094
9,0,10,BK01,BK11,-73.94716485387544,40.71683914979386,-73.99362856438486,40.60688009588173,1015.8263722293976
10,0,11,BK01,BK12,-73.94716485387544,40.71683914979386,-73.98332240426768,40.63104672015064,1758.7522846366257
11,0,12,BK01,BK13,-73.94716485387544,40.71683914979386,-73.9813448692334,40.580741392044644,513.708124146521
12,0,13,BK01,BK14,-73.94716485387544,40.71683914979386,-73.95890153122062,40.63120765487312,1805.5397112821604
13,0,14,BK01,BK15,-73.94716485387544,40.71683914979386,-73.94971480741029,40.59491433297577,823.6733726627981
14,0,15,BK01,BK16,-73.94716485387544,40.71683914979386,-73.91115157108779,40.669019563922355,3645.8310600252044
15,0,16,BK01,BK17,-73.94716485387544,40.71683914979386,-73.93439082497187,40.64843310036696,2903.0874955103423
16,0,17,BK01,BK18,-73.94716485387544,40.71683914979386,-73.91355068546429,40.62129419761759,1480.3103940110473
17,0,18,BK01,BK56,-73.94716485387544,40.71683914979386,-73.8763689072742,40.60766711970171,10.241853380728955
18,0,19,BK01,BX01,-73.94716485387544,40.71683914979386,-73.91594021485749,40.81070822441455,1072.18949762139
19,0,20,BK01,BX02,-73.94716485387544,40.71683914979386,-73.88808730836651,40.81322602862232,657.2579684364829
20,0,21,BK01,BX03,-73.94716485387544,40.71683914979386,-73.89758156527051,40.832748145182556,613.2180546334251
21,0,22,BK01,BX04,-73.94716485387544,40.71683914979386,-73.92113830969193,40.83285836867565,866.3438722439482
22,0,23,BK01,BX05,-73.94716485387544,40.71683914979386,-73.90922507317853,40.852496679460366,566.7567734152013
23,0,24,BK01,BX06,-73.94716485387544,40.71683914979386,-73.88650265839324,40.849402439238865,438.9961734388493
24,0,25,BK01,BX07,-73.94716485387544,40.71683914979386,-73.88950711401796,40.883462440633124,356.83738779799455
25,0,26,BK01,BX08,-73.94716485387544,40.71683914979386,-73.90711553269836,40.89130109863508,292.6914204690398
26,0,27,BK01,BX09,-73.94716485387544,40.71683914979386,-73.86085194287595,40.82423459600248,792.8879879211223
27,0,28,BK01,BX10,-73.94716485387544,40.71683914979386,-73.8220353443999,40.838258273610215,436.0435810504576
28,0,29,BK01,BX11,-73.94716485387544,40.71683914979386,-73.85263318131206,40.85650602050326,402.4372879158229
29,0,30,BK01,BX12,-73.94716485387544,40.71683914979386,-73.85128156975449,40.88670631960775,328.3922798901008
30,0,31,BK01,BX27,-73.94716485387544,40.71683914979386,-73.87549831933582,40.85783295042961,5.473245702382239
31,0,32,BK01,BX28,-73.94716485387544,40.71683914979386,-73.80787909906742,40.86824923869121,6.4000919583521405
32,0,33,BK01,MN01,-73.94716485387544,40.71683914979386,-74.01212459034637,40.70636771445047,4026.3684552406744
33,0,34,BK01,MN02,-73.94716485387544,40.71683914979386,-74.00158804685435,40.72977704176437,6236.56611195744
34,0,35,BK01,MN03,-73.94716485387544,40.71683914979386,-73.98554422363824,40.71958597440268,19958.429590721884
35,0,36,BK01,MN04,-73.94716485387544,40.71683914979386,-73.99780185641016,40.75503996148062,4340.249338115478
36,0,37,BK01,MN05,-73.94716485387544,40.71683914979386,-73.97525522457572,40.76733038882235,2762.667206664854
37,0,38,BK01,MN06,-73.94716485387544,40.71683914979386,-73.97495726645545,40.745122040134255,12749.818597925834
38,0,39,BK01,MN07,-73.94716485387544,40.71683914979386,-73.97638350273412,40.78677250306096,2983.4613090479224
39,0,40,BK01,MN08,-73.94716485387544,40.71683914979386,-73.95571659456925,40.77156920441733,5617.001763539057
40,0,41,BK01,MN09,-73.94716485387544,40.71683914979386,-73.95477906838973,40.81819837691435,1047.5586062387965
41,0,42,BK01,MN10,-73.94716485387544,40.71683914979386,-73.9448305945116,40.81341449196377,1257.222951207023
42,0,43,BK01,MN11,-73.94716485387544,40.71683914979386,-73.93497638032711,40.79493438444296,1940.3132591421274
43,0,44,BK01,MN12,-73.94716485387544,40.71683914979386,-73.93152618506768,40.85510854191067,692.0200597315837
44,0,45,BK01,QN01,-73.94716485387544,40.71683914979386,-73.90721866342301,40.770845089898174,3936.0716837779346
45,0,46,BK01,QN02,-73.94716485387544,40.71683914979386,-73.92336024268133,40.74129374858804,16221.799391870993
46,0,47,BK01,QN03,-73.94716485387544,40.71683914979386,-73.86266243578216,40.75114101779027,2614.860171175624
47,0,48,BK01,QN04,-73.94716485387544,40.71683914979386,-73.87190744592023,40.74079528093303,3928.638755511869
48,0,49,BK01,QN05,-73.94716485387544,40.71683914979386,-73.8912365232535,40.711240473076685,9327.379943411906
